symptom1,symptom2,symptom3,symptom4,OTC Medicine
Dizziness,Heartburn,Toothache,Hangover,Electrolyte solution (Pedialyte)
Hangover,Headache,Acid reflux,Allergic rash,Aspirin
Toothache,Heartburn,Nausea,Fever,Cold-EEZE
Nausea,Sinus pressure,Common cold,Hangover,Aspirin
Heartburn,Dizziness,Nausea,Menstrual cramps,Antacid (Rolaids)
Cough,Nausea,Sinus pressure,Heartburn,Dimenhydrinate
Muscle pain,Nausea,Toothache,Hay fever,Nasal spray (Flonase)
Dizziness,Runny nose,Nausea,Menstrual cramps,Ibuprofen
Dry skin,Sinus pressure,Heartburn,Hay fever,Bismuth subsalicylate
Diarrhea,Nausea,Acid reflux,Hangover,Antacid (Rolaids)
Common cold,Muscle pain,Hay fever,Dry skin,Ibuprofen
Hangover,Dry skin,Nausea,Acid reflux,Bismuth subsalicylate
Toothache,Dry skin,Hay fever,Fever,Loratadine
Runny nose,Dizziness,Insomnia,Cough,Nasal spray (Flonase)
Insomnia,Heartburn,Hay fever,Menstrual cramps,Loratadine
Sinus pressure,Hay fever,Dizziness,Dry skin,Hydrocortisone cream
Allergic rash,Dry cough,Dry skin,Toothache,Guaifenesin
Allergic rash,Heartburn,Muscle pain,Fever,Calamine lotion
Common cold,Menstrual cramps,Acid reflux,Toothache,Cold-EEZE
Dry cough,Hangover,Diarrhea,Muscle pain,Aspirin
Hay fever,Cough,Insomnia,Nausea,Antihistamine (Claritin)
Allergic rash,Hangover,Fever,Acid reflux,Hydrocortisone cream
Diarrhea,Dry skin,Fever,Acid reflux,Loperamide
Toothache,Runny nose,Allergic rash,Dizziness,Pseudoephedrine
Muscle pain,Allergic rash,Dry skin,Heartburn,Cold-EEZE
Insomnia,Hay fever,Diarrhea,Sinus pressure,Diphenhydramine
Hangover,Nausea,Sinus pressure,Dizziness,Nasal spray (Flonase)
Dry skin,Acid reflux,Sinus pressure,Heartburn,Bismuth subsalicylate
Sinus pressure,Allergic rash,Headache,Dry skin,Hydrocortisone cream
Heartburn,Common cold,Dizziness,Acid reflux,Antacid (Rolaids)
Sinus pressure,Nausea,Dry cough,Diarrhea,Saline nasal spray
Muscle pain,Heartburn,Allergic rash,Hay fever,Antihistamine (Benadryl)
Hangover,Headache,Runny nose,Muscle pain,Loratadine
Nausea,Sinus pressure,Dry cough,Heartburn,Honey
Nausea,Sinus pressure,Runny nose,Hay fever,Ginger supplements
Dizziness,Heartburn,Hay fever,Menstrual cramps,Aspirin
Allergic rash,Insomnia,Runny nose,Fever,Valerian root
Dizziness,Heartburn,Runny nose,Muscle pain,Ginkgo biloba
Nausea,Insomnia,Heartburn,Dry skin,Diphenhydramine
Runny nose,Acid reflux,Common cold,Dizziness,Bismuth subsalicylate
Common cold,Nausea,Dizziness,Cough,Loperamide
Dry cough,Heartburn,Hangover,Toothache,Ibuprofen
Heartburn,Insomnia,Dry cough,Acid reflux,Cold-EEZE
Heartburn,Headache,Hangover,Insomnia,Antacid (Tums)
Toothache,Muscle pain,Common cold,Acid reflux,Proton Pump Inhibitor (Omeprazole)
Dizziness,Acid reflux,Menstrual cramps,Dry skin,Heating pad
Headache,Toothache,Dizziness,Hangover,Aspirin
Insomnia,Fever,Acid reflux,Toothache,Bismuth subsalicylate
Menstrual cramps,Allergic rash,Fever,Diarrhea,Probiotic
Toothache,Menstrual cramps,Muscle pain,Insomnia,Melatonin
Hangover,Heartburn,Cough,Nausea,Antacid (Tums)
Runny nose,Menstrual cramps,Fever,Heartburn,Aspirin
Dry skin,Fever,Heartburn,Cough,Cold-EEZE
Menstrual cramps,Dizziness,Fever,Dry skin,Ginger supplements
Runny nose,Muscle pain,Hay fever,Nausea,Dimenhydrinate
Menstrual cramps,Muscle pain,Acid reflux,Nausea,Heating pad
Fever,Insomnia,Diarrhea,Runny nose,Valerian root
Toothache,Nausea,Allergic rash,Dry cough,Honey
Allergic rash,Sinus pressure,Hay fever,Acid reflux,Ibuprofen
Runny nose,Insomnia,Heartburn,Dry skin,Melatonin
Toothache,Headache,Cough,Heartburn,Antacid (Tums)
Common cold,Menstrual cramps,Headache,Cough,Pseudoephedrine
Diarrhea,Dry cough,Allergic rash,Acid reflux,Antacid (Rolaids)
Menstrual cramps,Toothache,Nausea,Acid reflux,Ginger supplements
Hay fever,Allergic rash,Menstrual cramps,Runny nose,Hydrocortisone cream
Hay fever,Acid reflux,Allergic rash,Menstrual cramps,Heating pad
Hangover,Nausea,Common cold,Dry skin,Electrolyte solution (Pedialyte)
Hangover,Menstrual cramps,Cough,Heartburn,Pseudoephedrine
Dry skin,Headache,Runny nose,Acid reflux,Antacid (Rolaids)
Insomnia,Allergic rash,Hangover,Muscle pain,Electrolyte solution (Pedialyte)
Runny nose,Allergic rash,Dizziness,Fever,Hydrocortisone cream
Sinus pressure,Nausea,Dry cough,Common cold,Electrolyte solution (Pedialyte)
Headache,Hay fever,Nausea,Dry skin,Moisturizing lotion
Hangover,Heartburn,Insomnia,Common cold,Diphenhydramine
Hay fever,Headache,Toothache,Insomnia,Valerian root
Diarrhea,Hangover,Nausea,Dry skin,Paracetamol
Sinus pressure,Hangover,Allergic rash,Muscle pain,Antihistamine (Benadryl)
Dizziness,Heartburn,Fever,Muscle pain,Ginger supplements
Sinus pressure,Dry cough,Cough,Diarrhea,Cold-EEZE
Hay fever,Muscle pain,Acid reflux,Toothache,Cold-EEZE
Diarrhea,Muscle pain,Toothache,Menstrual cramps,Electrolyte solution (Pedialyte)
Dry skin,Fever,Insomnia,Dry cough,Petroleum jelly
Dry skin,Dry cough,Sinus pressure,Cough,Dextromethorphan
Toothache,Fever,Dry cough,Heartburn,Ibuprofen
Cough,Allergic rash,Fever,Dry skin,Petroleum jelly
Fever,Cough,Heartburn,Runny nose,Ibuprofen
Acid reflux,Headache,Diarrhea,Nausea,Dimenhydrinate
Menstrual cramps,Dry cough,Fever,Heartburn,Electrolyte solution (Pedialyte)
Nausea,Fever,Runny nose,Headache,Loperamide
Menstrual cramps,Toothache,Dry skin,Headache,Ibuprofen
Dry skin,Common cold,Dizziness,Sinus pressure,Aloe vera gel
Cough,Menstrual cramps,Dizziness,Fever,Paracetamol
Toothache,Runny nose,Sinus pressure,Dry skin,Loratadine
Hangover,Dizziness,Toothache,Common cold,Electrolyte solution (Pedialyte)
Diarrhea,Headache,Dizziness,Cough,Dextromethorphan
Sinus pressure,Allergic rash,Common cold,Nausea,Dimenhydrinate
Allergic rash,Dry cough,Dry skin,Nausea,Loperamide
Muscle pain,Heartburn,Cough,Insomnia,Proton Pump Inhibitor (Omeprazole)
Fever,Headache,Diarrhea,Sinus pressure,Paracetamol
Diarrhea,Heartburn,Cough,Muscle pain,Antacid (Tums)
Dizziness,Heartburn,Hay fever,Fever,Antihistamine (Benadryl)
Nausea,Dry skin,Dry cough,Toothache,Aspirin
Fever,Toothache,Menstrual cramps,Sinus pressure,Ibuprofen
Sinus pressure,Dizziness,Dry cough,Allergic rash,Pseudoephedrine
Insomnia,Dry cough,Headache,Fever,Diphenhydramine
Headache,Allergic rash,Cough,Hay fever,Nasal spray (Flonase)
Insomnia,Fever,Nausea,Dizziness,Dimenhydrinate
Acid reflux,Dizziness,Nausea,Insomnia,Proton Pump Inhibitor (Omeprazole)
Fever,Hangover,Cough,Diarrhea,Ginger supplements
Hay fever,Dry skin,Headache,Nausea,Paracetamol
Dry skin,Menstrual cramps,Fever,Hangover,Heating pad
Insomnia,Nausea,Allergic rash,Runny nose,Lavender oil
Hangover,Heartburn,Dizziness,Menstrual cramps,Ginger supplements
Cough,Acid reflux,Dry skin,Allergic rash,Guaifenesin
Hangover,Dry skin,Runny nose,Allergic rash,Antihistamine (Benadryl)
Headache,Hay fever,Acid reflux,Dizziness,Ibuprofen
Muscle pain,Dry cough,Fever,Toothache,Orajel
Dry cough,Fever,Runny nose,Menstrual cramps,Pseudoephedrine
Headache,Heartburn,Muscle pain,Cough,Antacid (Tums)
Menstrual cramps,Headache,Nausea,Dry skin,Electrolyte solution (Pedialyte)
Diarrhea,Insomnia,Fever,Dizziness,Probiotic
Heartburn,Diarrhea,Insomnia,Common cold,Antacid (Tums)
Insomnia,Headache,Hay fever,Sinus pressure,Paracetamol
Toothache,Runny nose,Muscle pain,Acid reflux,Proton Pump Inhibitor (Omeprazole)
Headache,Toothache,Nausea,Allergic rash,Electrolyte solution (Pedialyte)
Nausea,Cough,Headache,Hangover,Pseudoephedrine
Hangover,Headache,Cough,Toothache,Orajel
Diarrhea,Allergic rash,Toothache,Runny nose,Loperamide
Fever,Acid reflux,Cough,Headache,Ibuprofen
Heartburn,Toothache,Dry cough,Hangover,Electrolyte solution (Pedialyte)
Headache,Hay fever,Allergic rash,Fever,Ibuprofen
Nausea,Fever,Allergic rash,Dry skin,Petroleum jelly
Runny nose,Dizziness,Dry skin,Cough,Ginger supplements
Runny nose,Dizziness,Hay fever,Common cold,Dimenhydrinate
Dizziness,Insomnia,Common cold,Dry cough,Dimenhydrinate
Fever,Heartburn,Hay fever,Dizziness,Ibuprofen
Cough,Dry skin,Dry cough,Headache,Cold-EEZE
Fever,Menstrual cramps,Common cold,Muscle pain,Cold-EEZE
Runny nose,Toothache,Dry cough,Menstrual cramps,Honey
Diarrhea,Dizziness,Hay fever,Sinus pressure,Antihistamine (Claritin)
Dry skin,Dry cough,Cough,Acid reflux,Hydrocortisone cream
Headache,Heartburn,Common cold,Dizziness,Ibuprofen
Nausea,Acid reflux,Dizziness,Common cold,Bismuth subsalicylate
Nausea,Allergic rash,Muscle pain,Diarrhea,Antihistamine (Claritin)
Muscle pain,Allergic rash,Menstrual cramps,Dizziness,Dimenhydrinate
Menstrual cramps,Dizziness,Acid reflux,Sinus pressure,Paracetamol
Dry cough,Fever,Acid reflux,Insomnia,Guaifenesin
Menstrual cramps,Insomnia,Muscle pain,Toothache,Orajel
Hay fever,Menstrual cramps,Cough,Allergic rash,Antihistamine (Claritin)
Toothache,Sinus pressure,Hay fever,Hangover,Antihistamine (Benadryl)
Nausea,Fever,Allergic rash,Dizziness,Antihistamine (Benadryl)
Cough,Allergic rash,Fever,Common cold,Pseudoephedrine
Menstrual cramps,Sinus pressure,Dry skin,Allergic rash,Paracetamol
Insomnia,Runny nose,Acid reflux,Cough,Cold-EEZE
Fever,Dry skin,Dry cough,Headache,Cold-EEZE
Headache,Dry cough,Diarrhea,Dizziness,Honey
Heartburn,Toothache,Dizziness,Muscle pain,Ginger supplements
Menstrual cramps,Nausea,Dry skin,Muscle pain,Dimenhydrinate
Hay fever,Dry cough,Diarrhea,Sinus pressure,Guaifenesin
Headache,Dry cough,Heartburn,Allergic rash,Antacid (Tums)
Nausea,Dry cough,Sinus pressure,Heartburn,Bismuth subsalicylate
Insomnia,Hay fever,Hangover,Dry skin,Valerian root
Common cold,Toothache,Hangover,Headache,Ginger supplements
Toothache,Cough,Fever,Muscle pain,Ibuprofen
Allergic rash,Menstrual cramps,Runny nose,Hangover,Antihistamine (Claritin)
Toothache,Menstrual cramps,Heartburn,Hangover,Ibuprofen
Common cold,Hangover,Toothache,Hay fever,Aspirin
Muscle pain,Sinus pressure,Insomnia,Hangover,Ginger supplements
Heartburn,Acid reflux,Dry cough,Runny nose,Guaifenesin
Nausea,Allergic rash,Hay fever,Cough,Loratadine
Hay fever,Allergic rash,Headache,Runny nose,Aspirin
Dizziness,Runny nose,Insomnia,Heartburn,Loratadine
Dry cough,Insomnia,Sinus pressure,Nausea,Electrolyte solution (Pedialyte)
Acid reflux,Insomnia,Common cold,Diarrhea,Bismuth subsalicylate
Insomnia,Diarrhea,Allergic rash,Acid reflux,Antacid (Tums)
Diarrhea,Fever,Dizziness,Nausea,Paracetamol
Headache,Nausea,Insomnia,Runny nose,Melatonin
Hangover,Menstrual cramps,Fever,Headache,Heating pad
Muscle pain,Nausea,Acid reflux,Dry skin,Ginger supplements
Toothache,Dry cough,Headache,Runny nose,Pseudoephedrine
Insomnia,Acid reflux,Common cold,Cough,Antacid (Tums)
Common cold,Hay fever,Nausea,Dry skin,Dimenhydrinate
Hangover,Fever,Common cold,Heartburn,Cold-EEZE
Nausea,Headache,Acid reflux,Dizziness,Antacid (Tums)
Fever,Insomnia,Hay fever,Diarrhea,Lavender oil
Dry skin,Fever,Acid reflux,Insomnia,Electrolyte solution (Pedialyte)
Toothache,Insomnia,Diarrhea,Muscle pain,Electrolyte solution (Pedialyte)
Headache,Dizziness,Sinus pressure,Acid reflux,Cold-EEZE
Heartburn,Headache,Menstrual cramps,Fever,Electrolyte solution (Pedialyte)
Diarrhea,Common cold,Headache,Hay fever,Ibuprofen
Fever,Sinus pressure,Menstrual cramps,Runny nose,Heating pad
Cough,Hangover,Muscle pain,Dry skin,Ibuprofen
Hangover,Heartburn,Acid reflux,Allergic rash,Antihistamine (Claritin)
Dry skin,Toothache,Diarrhea,Runny nose,Pseudoephedrine
Allergic rash,Insomnia,Dry cough,Diarrhea,Antihistamine (Benadryl)
Hay fever,Common cold,Acid reflux,Allergic rash,Nasal spray (Flonase)
Runny nose,Dry cough,Dry skin,Heartburn,Aloe vera gel
Diarrhea,Insomnia,Hangover,Allergic rash,Loperamide
Muscle pain,Hangover,Acid reflux,Common cold,Ginger supplements
Hay fever,Allergic rash,Dry cough,Acid reflux,Calamine lotion
Dizziness,Diarrhea,Cough,Common cold,Cold-EEZE
Sinus pressure,Heartburn,Dry skin,Fever,Petroleum jelly
Toothache,Common cold,Dizziness,Headache,Cold-EEZE
Insomnia,Hangover,Diarrhea,Hay fever,Antihistamine (Claritin)
Common cold,Dizziness,Diarrhea,Hay fever,Nasal spray (Flonase)
Dry cough,Dry skin,Cough,Runny nose,Honey
Sinus pressure,Heartburn,Dry cough,Hangover,Antacid (Tums)
Headache,Dizziness,Runny nose,Heartburn,Electrolyte solution (Pedialyte)
Toothache,Dry cough,Insomnia,Dry skin,Guaifenesin
Dizziness,Acid reflux,Insomnia,Common cold,Dimenhydrinate
Allergic rash,Runny nose,Dizziness,Nausea,Ginkgo biloba
Diarrhea,Runny nose,Headache,Heartburn,Aspirin
Common cold,Diarrhea,Dizziness,Muscle pain,Ginkgo biloba
Runny nose,Nausea,Dry cough,Dizziness,Honey
Dry skin,Runny nose,Fever,Nausea,Ibuprofen
Headache,Hangover,Allergic rash,Muscle pain,Ibuprofen
Heartburn,Muscle pain,Diarrhea,Hay fever,Antihistamine (Benadryl)
Runny nose,Diarrhea,Insomnia,Menstrual cramps,Bismuth subsalicylate
Toothache,Fever,Hay fever,Heartburn,Nasal spray (Flonase)
Dizziness,Hay fever,Insomnia,Fever,Diphenhydramine
Menstrual cramps,Insomnia,Heartburn,Muscle pain,Aspirin
Muscle pain,Hay fever,Runny nose,Diarrhea,Bismuth subsalicylate
Fever,Runny nose,Menstrual cramps,Hay fever,Antihistamine (Claritin)
Hay fever,Menstrual cramps,Nausea,Diarrhea,Probiotic
Heartburn,Nausea,Muscle pain,Hangover,Paracetamol
Insomnia,Hay fever,Allergic rash,Nausea,Lavender oil
Hay fever,Dizziness,Hangover,Fever,Antihistamine (Claritin)
Hay fever,Toothache,Muscle pain,Dry cough,Cold-EEZE
Heartburn,Dry cough,Dry skin,Nausea,Moisturizing lotion
Dizziness,Cough,Insomnia,Toothache,Dextromethorphan
Muscle pain,Common cold,Acid reflux,Sinus pressure,Guaifenesin
Muscle pain,Headache,Heartburn,Runny nose,Antacid (Rolaids)
Dizziness,Muscle pain,Hay fever,Dry skin,Ginger supplements
Nausea,Dry skin,Dizziness,Diarrhea,Aloe vera gel
Dry cough,Diarrhea,Muscle pain,Fever,Bismuth subsalicylate
Dry cough,Allergic rash,Hay fever,Headache,Aspirin
Dry skin,Toothache,Cough,Sinus pressure,Petroleum jelly
Toothache,Acid reflux,Headache,Hay fever,Orajel
Dry cough,Muscle pain,Fever,Headache,Guaifenesin
Menstrual cramps,Hay fever,Nausea,Sinus pressure,Saline nasal spray
Allergic rash,Heartburn,Diarrhea,Cough,Antihistamine (Benadryl)
Nausea,Heartburn,Fever,Diarrhea,Dimenhydrinate
Acid reflux,Dry cough,Sinus pressure,Headache,Paracetamol
Cough,Dry skin,Diarrhea,Nausea,Ginger supplements
Muscle pain,Heartburn,Toothache,Menstrual cramps,Ibuprofen
Headache,Hay fever,Nausea,Acid reflux,Antacid (Tums)
Toothache,Menstrual cramps,Insomnia,Fever,Electrolyte solution (Pedialyte)
Insomnia,Dry cough,Common cold,Allergic rash,Dextromethorphan
Dizziness,Common cold,Dry cough,Nausea,Paracetamol
Toothache,Cough,Menstrual cramps,Nausea,Pseudoephedrine
Hangover,Heartburn,Common cold,Acid reflux,Bismuth subsalicylate
Hay fever,Nausea,Common cold,Dizziness,Loperamide
Runny nose,Diarrhea,Dry cough,Common cold,Dextromethorphan
Dry skin,Headache,Sinus pressure,Acid reflux,Paracetamol
Insomnia,Sinus pressure,Dry cough,Hay fever,Dextromethorphan
Dry skin,Insomnia,Dry cough,Heartburn,Aloe vera gel
Acid reflux,Allergic rash,Headache,Common cold,Antacid (Rolaids)
Dry skin,Cough,Insomnia,Common cold,Dextromethorphan
Dry skin,Headache,Runny nose,Acid reflux,Antacid (Rolaids)
Toothache,Runny nose,Sinus pressure,Dry skin,Loratadine
Headache,Nausea,Dry cough,Menstrual cramps,Loperamide
Dry cough,Runny nose,Sinus pressure,Menstrual cramps,Paracetamol
Cough,Common cold,Hangover,Fever,Cold-EEZE
Allergic rash,Cough,Insomnia,Hangover,Aspirin
Hangover,Heartburn,Acid reflux,Allergic rash,Antihistamine (Claritin)
Runny nose,Menstrual cramps,Diarrhea,Acid reflux,Heating pad
Hangover,Hay fever,Diarrhea,Nausea,Paracetamol
Runny nose,Heartburn,Dry cough,Hay fever,Pseudoephedrine
Toothache,Dizziness,Runny nose,Headache,Electrolyte solution (Pedialyte)
Nausea,Hangover,Dry skin,Fever,Ginger supplements
Fever,Cough,Menstrual cramps,Heartburn,Guaifenesin
Headache,Allergic rash,Common cold,Fever,Antihistamine (Claritin)
Diarrhea,Muscle pain,Menstrual cramps,Cough,Paracetamol
Cough,Acid reflux,Menstrual cramps,Nausea,Paracetamol
Dry skin,Dry cough,Toothache,Allergic rash,Aspirin
Muscle pain,Acid reflux,Hangover,Menstrual cramps,Paracetamol
Diarrhea,Toothache,Hay fever,Dizziness,Electrolyte solution (Pedialyte)
Heartburn,Nausea,Menstrual cramps,Sinus pressure,Pseudoephedrine
Muscle pain,Dizziness,Runny nose,Sinus pressure,Loratadine
Menstrual cramps,Diarrhea,Toothache,Sinus pressure,Aspirin
Fever,Cough,Dizziness,Common cold,Electrolyte solution (Pedialyte)
Heartburn,Fever,Menstrual cramps,Sinus pressure,Antacid (Tums)
Menstrual cramps,Cough,Common cold,Insomnia,Aspirin
Nausea,Heartburn,Toothache,Cough,Guaifenesin
Hangover,Nausea,Fever,Common cold,Paracetamol
Allergic rash,Diarrhea,Hangover,Sinus pressure,Ginger supplements
Runny nose,Dry skin,Hangover,Sinus pressure,Petroleum jelly
Insomnia,Diarrhea,Hay fever,Muscle pain,Loperamide
Cough,Muscle pain,Menstrual cramps,Toothache,Cold-EEZE
Runny nose,Toothache,Acid reflux,Dry cough,Nasal spray (Flonase)
Dizziness,Allergic rash,Runny nose,Hangover,Ginger supplements
Dry skin,Insomnia,Nausea,Hay fever,Dimenhydrinate
Dry cough,Headache,Toothache,Muscle pain,Dextromethorphan
Allergic rash,Dry cough,Heartburn,Toothache,Antacid (Rolaids)
Muscle pain,Fever,Acid reflux,Allergic rash,Antihistamine (Benadryl)
Dry skin,Allergic rash,Hangover,Sinus pressure,Moisturizing lotion
Cough,Fever,Allergic rash,Toothache,Pseudoephedrine
Heartburn,Cough,Sinus pressure,Hay fever,Proton Pump Inhibitor (Omeprazole)
Menstrual cramps,Fever,Common cold,Cough,Paracetamol
Heartburn,Insomnia,Hay fever,Nausea,Dimenhydrinate
Allergic rash,Toothache,Diarrhea,Runny nose,Orajel
Muscle pain,Hangover,Nausea,Runny nose,Ibuprofen
Menstrual cramps,Muscle pain,Insomnia,Hay fever,Ibuprofen
Headache,Insomnia,Allergic rash,Hangover,Hydrocortisone cream
Diarrhea,Dizziness,Runny nose,Muscle pain,Bismuth subsalicylate
Nausea,Dizziness,Toothache,Dry cough,Aspirin
Acid reflux,Hay fever,Dry cough,Cough,Antihistamine (Benadryl)
Muscle pain,Acid reflux,Hay fever,Common cold,Antacid (Tums)
Nausea,Acid reflux,Heartburn,Diarrhea,Probiotic
Insomnia,Toothache,Dry skin,Acid reflux,Valerian root
Common cold,Heartburn,Cough,Dizziness,Antacid (Tums)
Insomnia,Diarrhea,Heartburn,Cough,Loperamide
Sinus pressure,Dizziness,Dry cough,Common cold,Dimenhydrinate
Dry cough,Common cold,Allergic rash,Fever,Antihistamine (Benadryl)
Toothache,Runny nose,Allergic rash,Dizziness,Pseudoephedrine
Fever,Dry cough,Common cold,Insomnia,Valerian root
Hangover,Dizziness,Dry cough,Runny nose,Ginkgo biloba
Sinus pressure,Dry cough,Allergic rash,Headache,Ibuprofen
Nausea,Acid reflux,Hay fever,Allergic rash,Electrolyte solution (Pedialyte)
Acid reflux,Toothache,Nausea,Common cold,Antacid (Tums)
Cough,Diarrhea,Dizziness,Runny nose,Loratadine
Runny nose,Hangover,Sinus pressure,Dry cough,Ibuprofen
Nausea,Insomnia,Muscle pain,Headache,Cold-EEZE
Runny nose,Dry skin,Nausea,Diarrhea,Bismuth subsalicylate
Sinus pressure,Allergic rash,Dizziness,Dry skin,Petroleum jelly
Menstrual cramps,Hangover,Toothache,Sinus pressure,Electrolyte solution (Pedialyte)
Hangover,Runny nose,Fever,Toothache,Pseudoephedrine
Hangover,Diarrhea,Cough,Dizziness,Electrolyte solution (Pedialyte)
Dry cough,Muscle pain,Hangover,Fever,Guaifenesin
Common cold,Heartburn,Hangover,Menstrual cramps,Bismuth subsalicylate
Dry cough,Muscle pain,Acid reflux,Heartburn,Honey
Dry cough,Hay fever,Toothache,Diarrhea,Guaifenesin
Allergic rash,Muscle pain,Dizziness,Runny nose,Ginger supplements
Insomnia,Dry skin,Acid reflux,Headache,Hydrocortisone cream
Acid reflux,Insomnia,Nausea,Diarrhea,Proton Pump Inhibitor (Omeprazole)
Insomnia,Heartburn,Hangover,Headache,Ginger supplements
Cough,Insomnia,Dry skin,Common cold,Petroleum jelly
Dry cough,Dry skin,Toothache,Menstrual cramps,Aspirin
Common cold,Dry skin,Dizziness,Muscle pain,Paracetamol
Dizziness,Acid reflux,Diarrhea,Muscle pain,Antacid (Rolaids)
Dry cough,Insomnia,Allergic rash,Common cold,Ibuprofen
Menstrual cramps,Runny nose,Cough,Dry skin,Heating pad
Dry cough,Cough,Headache,Muscle pain,Aspirin
Acid reflux,Muscle pain,Headache,Sinus pressure,Antacid (Tums)
Acid reflux,Runny nose,Hangover,Common cold,Ibuprofen
Acid reflux,Dry cough,Diarrhea,Headache,Probiotic
Dry skin,Allergic rash,Cough,Heartburn,Guaifenesin
Acid reflux,Fever,Dizziness,Hay fever,Loratadine
Heartburn,Insomnia,Dry cough,Acid reflux,Cold-EEZE
Hangover,Allergic rash,Nausea,Diarrhea,Loperamide
Fever,Common cold,Sinus pressure,Menstrual cramps,Nasal spray (Flonase)
Heartburn,Cough,Insomnia,Common cold,Antacid (Rolaids)
Cough,Allergic rash,Dry cough,Dry skin,Guaifenesin
Dry cough,Diarrhea,Fever,Insomnia,Lavender oil
Fever,Common cold,Runny nose,Menstrual cramps,Guaifenesin
Insomnia,Dry cough,Sinus pressure,Dizziness,Electrolyte solution (Pedialyte)
Fever,Dry cough,Diarrhea,Allergic rash,Cold-EEZE
Dry skin,Dry cough,Menstrual cramps,Sinus pressure,Petroleum jelly
Runny nose,Diarrhea,Allergic rash,Hangover,Bismuth subsalicylate
Acid reflux,Fever,Common cold,Allergic rash,Antacid (Rolaids)
Hangover,Dry skin,Toothache,Cough,Electrolyte solution (Pedialyte)
Nausea,Dry cough,Dry skin,Muscle pain,Guaifenesin
Dizziness,Diarrhea,Common cold,Allergic rash,Cold-EEZE
Cough,Toothache,Diarrhea,Muscle pain,Ibuprofen
Headache,Acid reflux,Hay fever,Dry skin,Aloe vera gel
Hangover,Cough,Allergic rash,Dry skin,Petroleum jelly
Muscle pain,Nausea,Runny nose,Allergic rash,Calamine lotion
Hangover,Runny nose,Cough,Heartburn,Ginger supplements
Insomnia,Dry cough,Headache,Fever,Diphenhydramine
Hangover,Fever,Common cold,Hay fever,Cold-EEZE
Insomnia,Hay fever,Hangover,Sinus pressure,Electrolyte solution (Pedialyte)
Fever,Dizziness,Common cold,Nausea,Loperamide
Headache,Menstrual cramps,Fever,Toothache,Heating pad
Allergic rash,Menstrual cramps,Heartburn,Fever,Bismuth subsalicylate
Nausea,Insomnia,Headache,Dizziness,Melatonin
Cough,Acid reflux,Hay fever,Nausea,Nasal spray (Flonase)
Dry cough,Sinus pressure,Muscle pain,Allergic rash,Guaifenesin
Menstrual cramps,Runny nose,Insomnia,Dizziness,Cold-EEZE
Headache,Common cold,Toothache,Hay fever,Guaifenesin
Fever,Acid reflux,Cough,Headache,Ibuprofen
Dry cough,Diarrhea,Hay fever,Insomnia,Melatonin
Common cold,Nausea,Sinus pressure,Diarrhea,Saline nasal spray
Hay fever,Nausea,Dry cough,Toothache,Loperamide
Menstrual cramps,Dry cough,Common cold,Fever,Dextromethorphan
Muscle pain,Runny nose,Hay fever,Common cold,Antihistamine (Benadryl)
Cough,Toothache,Hangover,Runny nose,Guaifenesin
Acid reflux,Runny nose,Diarrhea,Allergic rash,Electrolyte solution (Pedialyte)
Common cold,Runny nose,Hay fever,Insomnia,Loratadine
Insomnia,Diarrhea,Hangover,Common cold,Paracetamol
Dry cough,Fever,Cough,Dry skin,Pseudoephedrine
Insomnia,Hay fever,Fever,Muscle pain,Paracetamol
Headache,Muscle pain,Dizziness,Dry cough,Cold-EEZE
Common cold,Allergic rash,Headache,Heartburn,Bismuth subsalicylate
Dizziness,Muscle pain,Runny nose,Toothache,Loratadine
Heartburn,Headache,Toothache,Dry skin,Aloe vera gel
Acid reflux,Toothache,Cough,Heartburn,Aspirin
Common cold,Heartburn,Hay fever,Insomnia,Ibuprofen
Hangover,Common cold,Nausea,Runny nose,Loratadine
Common cold,Dry cough,Menstrual cramps,Allergic rash,Antihistamine (Benadryl)
Cough,Headache,Dizziness,Toothache,Pseudoephedrine
Nausea,Common cold,Diarrhea,Cough,Ibuprofen
Dry skin,Common cold,Hangover,Dizziness,Dimenhydrinate
Nausea,Headache,Fever,Heartburn,Ginger supplements
Runny nose,Allergic rash,Dry cough,Insomnia,Antihistamine (Benadryl)
Toothache,Diarrhea,Menstrual cramps,Acid reflux,Paracetamol
Muscle pain,Heartburn,Sinus pressure,Nausea,Nasal spray (Flonase)
Hangover,Common cold,Insomnia,Sinus pressure,Nasal spray (Flonase)
Acid reflux,Dry cough,Common cold,Insomnia,Proton Pump Inhibitor (Omeprazole)
Menstrual cramps,Dry skin,Runny nose,Hay fever,Ibuprofen
Menstrual cramps,Hangover,Runny nose,Cough,Cold-EEZE
Dizziness,Hangover,Toothache,Dry skin,Aspirin
Common cold,Acid reflux,Allergic rash,Dizziness,Paracetamol
Muscle pain,Sinus pressure,Menstrual cramps,Hangover,Aspirin
Runny nose,Heartburn,Toothache,Muscle pain,Ibuprofen
Muscle pain,Heartburn,Fever,Toothache,Electrolyte solution (Pedialyte)
Runny nose,Cough,Heartburn,Headache,Bismuth subsalicylate
Runny nose,Muscle pain,Nausea,Headache,Dimenhydrinate
Allergic rash,Dry skin,Nausea,Runny nose,Moisturizing lotion
Insomnia,Nausea,Toothache,Dizziness,Ibuprofen
Dizziness,Common cold,Menstrual cramps,Acid reflux,Dimenhydrinate
